Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
TRUE,Box3-C2-KN_12-1_F23.fsa,Box3-C2-KN_12-1,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,763_,B02,091_,Apple2019_Box5-6_Plate1-2_PM1r,92,F23,,,,,,,,,,,,,
TRUE,Box2-A5-KN_19-13_F24.fsa,Box2-A5-KN_19-13,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,667_,B01,091_,Apple2019_Box5-6_Plate1-2_PM1r,92,F24,,,,,,,,,,,,,
TRUE,PI_247021-04_Coxs_G03.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,396_,A01,012_,Apple2019_Box5-6_Plate1-2_PM1r,10,G03,,,,,,,,,,,,,
TRUE,PI_588850-11_RBL_G08.fsa,PI_588850-11_RBL,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,508_,A02,028_,Apple2019_Box5-6_Plate1-2_PM1r,26,G08,,,,,,,,,,,,,
TRUE,PI_589593_06_BlenheimOrange_G17.fsa,PI_589593_06_BlenheimOrange,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,452_,A01,068_,Apple2019_Box5-6_Plate1-2_PM1r,73,G17,,,,,,,,,,,,,
TRUE,Box3-C3-RA_18-6_H01.fsa,Box3-C3-RA_18-6,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,676_,B02,004_,Apple2019_Box5-6_Plate1-2_PM1r,9,H01,,,,,,,,,,,,,
TRUE,Box2-A6-RA_25-9_H02.fsa,Box2-A6-RA_25-9,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,580_,B01,004_,Apple2019_Box5-6_Plate1-2_PM1r,9,H02,,,,,,,,,,,,,
TRUE,Box3-C4-PR_30-13_H03.fsa,Box3-C4-PR_30-13,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,684_,B02,012_,Apple2019_Box5-6_Plate1-2_PM1r,10,H03,,,,,,,,,,,,,
TRUE,Box2-A7-RA_25-4_H04.fsa,Box2-A7-RA_25-4,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,588_,B01,012_,Apple2019_Box5-6_Plate1-2_PM1r,10,H04,,,,,,,,,,,,,
TRUE,Box3-C5-KN_26-02_H05.fsa,Box3-C5-KN_26-02,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,692_,B02,020_,Apple2019_Box5-6_Plate1-2_PM1r,25,H05,,,,,,,,,,,,,
